분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
B 탈루_1 고체연료,10931.46,10379.04,9402.4,8576.76,7612.04,6781.81,6293.76,5884.57,5624.36,5384.06,5215.09,5034.14,4661.41,4560.13,4413.34,4208.43,4117.14,4055.57,3950.54,3793.65,3551.88,3492.78,3438.17,3269.74,3195.52,3154.39,3092.18,2844.07,2704.24,2620.6,2563.04,2483.64,2426.37,2334.02
B 탈루_2 석유 및 천연가스,62.68,85,113.55,143.85,169.99,215.86,274.64,341.53,352.09,423.93,492.96,523.18,551.66,579.45,619.73,704.72,701.33,712.55,741.51,758.71,856.93,896.05,961.44,946.31,875.67,827.75,851.7,921.76,983.74,932.99,895,936.8,975.42,907.96
B 탈루_2 석유 및 천연가스_a 석유,37.72,48.26,61.64,67.72,68.55,76.33,87.29,105.68,99.9,105.83,108.14,104.2,95.48,95.44,100.17,103.07,106.68,106.68,104.87,101.5,105.69,112.07,114.65,110.33,111.49,123.24,130.05,135.33,134.28,129.13,118.78,116.45,124.45,121.94
B 탈루_2 석유 및 천연가스_b 천연가스,23.06,34.71,49.36,72.42,96.46,133.82,179.8,226.42,243.58,307.81,372.09,406.26,440.84,468.36,492.64,556.17,551.23,566.28,602.99,609.83,697.26,731.02,793.4,779.62,717.71,666.78,684.46,738.26,798.84,756.34,732.34,778.98,812.5,749.26
B 탈루_2 석유 및 천연가스_c 탈기 및 소각,1.91,2.04,2.55,3.71,4.98,5.71,7.54,9.42,8.61,10.29,12.73,12.72,15.35,15.65,26.92,45.48,43.42,39.59,33.64,47.38,53.98,52.96,53.39,56.36,46.48,37.73,37.19,48.17,50.62,47.52,43.88,41.38,38.47,36.76
C 이산화탄소 수송 및 저장,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
산업공정 및 제품사용,37807.9,44189.01,53485.52,60386.21,64306.27,69678.03,72705.26,80045.05,73227.36,80387.8,83147.38,86873.32,90285.69,94265.38,97830.3,99972.96,102018.64,91430.34,94984.31,89943.4,95978.33,94679.59,97606.27,111451.71,115616.73,117391.45,116784.47,121855.52,123823.34,124841.44,120620.6,127791.72,125497.77,121502.15
A 광물산업,16386.71,19523.83,21749.27,25352.7,27687.12,29093.2,29305.51,30433.51,23929.33,24996.35,26101.3,27071.25,28485.06,29471.32,27768.27,25097.93,24905.72,28165.27,28819.51,28089.12,28334.52,29172.79,29364.92,29451.7,29893.4,30550.15,32196.9,31963.44,30453.92,30539.66,27967.39,29005.86,28421.13,28027.05
A 광물산업_1 시멘트생산,15870.87,18960.06,21126.45,24697.88,26837.24,28101.72,28305.66,29317.11,22876.59,23716.89,24753.54,25662.76,27104.25,27917.99,26121.25,23323.54,23137.27,26272.63,26077.02,24550.65,24294.28,24717.81,24845.98,25047.57,25409.1,25776.03,26669.1,26347.96,24699.53,24927.31,22700.5,23516.13,23227.36,22737.36
A 광물산업_2 석회생산,256.81,297.3,321.7,356.06,509.39,637.75,635.09,750.25,762.23,815.95,803.6,787.75,758.82,893.5,932.56,1033.49,1028.29,1019.56,1856.6,2607.18,2970.56,3314.36,3365.5,3242.23,3287.57,3415.22,4109,4153.96,4303.18,4335.6,3978.67,4215.7,3961.71,4110.23
